"","street_address","district","nimi","keel","VIITEPUNKT_X","VIITEPUNKT_Y"
"1","Asula tn 16","Kesklinna linnaosa","Tallinna Magdaleena Lasteaed","eesti",24.7343979895556,59.4156229724928
"3","Endla tn 17","Kesklinna linnaosa","Muumipere Lastesõim","eesti",24.7338074732428,59.4291464484153
"5","Endla tn 21","Kesklinna linnaosa","Tallinna Endla Lasteaed","eesti",24.7328469672207,59.42856740866631
"9","Gildi tn 17","Kesklinna linnaosa","Tallinna Unistuse Lasteaed","vene",24.7691967870463,59.4294910349345
"11","Gonsiori tn 3","Kesklinna linnaosa","Tallinna Kiisupere Lasteaed","eesti",24.7580617191415,59.4358408394379
"13","Invaliidi tn 5","Kesklinna linnaosa","Tallinna Päikesejänku Lasteaed","eesti",24.7508030861397,59.4252461455452
"16","J. Vilmsi tn 9","Kesklinna linnaosa","Tallinna 22. Lasteaed","eesti",24.7760190268887,59.4373808816873
"19","Juhkentali tn 25","Kesklinna linnaosa","Tallinna Liivamäe Lasteaed","eesti",24.7675656357947,59.4279796959205
"23","Kiisa tn 6","Kesklinna linnaosa","Tallinna Kiisa Lasteaed","eesti",24.7404308028914,59.4130251048285
"25","Komeedi tn 3","Kesklinna linnaosa","Tallinna Komeedi Lasteaed","eesti",24.7327241529251,59.4270055889493
"27","L. Koidula tn 20a","Kesklinna linnaosa","Kadrioru Lasteaed","vene",24.7816567258168,59.4369921437852
"33","Liivalaia tn 30","Kesklinna linnaosa","Tallinna Liivalossi Lasteaed","eesti",24.7548846575589,59.4286285273764
"35","Luha tn 29","Kesklinna linnaosa","Tallinna Luha Lasteaed","eesti",24.7375241835022,59.4245799977091
"39","Magdaleena tn 6","Kesklinna linnaosa","Tallinna Kullatera Lasteaed","eesti",24.7358975687018,59.4148082042887
"42","Mardi tn 5","Kesklinna linnaosa","Tallinna Mardi Lasteaed","eesti",24.7641472405167,59.4305397620625
"45","Planeedi tn 16","Kesklinna linnaosa","Lastesõim Planeedi Mudila","eesti",24.7411957391088,59.4229646403566
"48","Raua tn 53","Kesklinna linnaosa","Tallinna Päevalille Lasteaed","vene",24.771868791897,59.4376121003982
"50","Saku tn 7","Kesklinna linnaosa","Tallinna Terakese Lasteaed","eesti/ vene",24.7392270770532,59.4106783159161
"52","Tartu mnt 57","Kesklinna linnaosa","Tallinna Mesimummu Lasteaed","eesti",24.7725675959607,59.4312146033442
"54","Toom-Kuninga tn 13a","Kesklinna linnaosa","Rõõmutarekese Lasteaed","eesti",24.7365196641987,59.4284628896329
"57","V. Reimani tn 3","Kesklinna linnaosa","Tallinna Mürakaru Lasteaed","eesti",24.7631019127489,59.4364999796502
"60","Virmalise tn 24","Kesklinna linnaosa","Tallinna Virmalise Lasteaed","eesti",24.7383250060666,59.4233875146348
